Classification	Charity	No of direct beneficiaries	No of indirect beneficiaries	Annual cost	Cost per direct beneficiary	Cost per indirect beneficiary	Comments	Source	Where did I hear about the charity				
Unclassified	Plan	1,400,000	113,000,000	£507,264,002	£362.33	£4.49		http://plan-international.org/about-plan/annual-review-2014/download/AR%202014_English-financialstatement.pdf	Mixture of direct intervention and advocacy work				
Cancer	Macmillan Cancer support	775,055		£121,700,000	£157.02		Not clear whether this adding up of beneficiaries is correct e.g. doesn't overlap	http://www.macmillan.org.uk/Documents/AboutUs/RaiseAndSpend/AnnualReviews/AnnualReport2013.pdf					
Children	Great Ormond Street Hospital Childrens Charity	220,000		£374,083,000	£1,700.38			http://issuu.com/goshcc/docs/final_gosh_annual_report_2013-14					
Children	Barnardos	200,000		£278,400,000	£1,392.00			http://www.barnardos.org.uk/barnardo_s_annual_report_and_accounts_2014.pdf	I would like to understand why it's so high. I'm guessing it's just because it's all in the UK and none in the developing world. I have sent a query on 31/may/2015 (it won't be in my sent mail, rather in my hotmail inbox)				
Homelessness	Shelter	194,150		£59,845,000	£308.24			http://england.shelter.org.uk/__data/assets/pdf_file/0008/924416/2013-14_Shelter_Annual_Report_and_Accounts.pdf					
Women	Camfed	108,000	not disclosed	£31,294,351	£289.76	not disclosed		https://camfed.org/media/uploads/files/Camfed_2013_Annual_Report.pdf					
Women	Womankind	95,000	6,000,000	£3,910,807	£41.17	£ 0.65		http://www.womankind.org.uk/wp-content/uploads/2013/03/Womankind-Annual-Report-2011-12.pdf P1 and P10					
Unclassified	Comic Relief grant to VSO	85,000		£3,000,000	£35.29			p 17 of http://d1st6gslnjua2o.cloudfront.net/sites/comicrelief.com/files/files/downloadables/390_M15_195_Trustees_Report_and_Financial_Statement_V27.pdf					
Women	Women for women international UK	63,588	343,213	£16,671,239	£262.18	£ 48.57		http://www.womenforwomen.org/sites/default/files/2013_WfWI_Annual_Reports.pdf					
Cancer	Marie Curie Cancer care	40,844		£150,000,000	£3,672.51			https://www.mariecurie.org.uk/globalassets/media/documents/who-we-are/vision-and-strategic-plan/annual-report-2013-2014-marie-curie.pdf					
Unclassified	Red Cross	21,229	158,792	£256,600,000	£12,087.24	£1,615.95		http://www.redcross.org.uk/About-us/Who-we-are/Governance-and-annual-reports	Very approximate - numbers of beneficiaries given only for UK opps, so I multiplied them based on the proportion of total international spending UK spending constitutes				
Unclassified	Beanstalk	10,000		£2,815,139	£281.51								
Unclassified	RNLI	9,000	0	£153,750,000	£17,083.33			http://rnli.org/aboutus/aboutthernli/Pages/Running-costs.aspx					
Homelessness	Centrepoint	8,465		£18,345,000	£2,167.16			http://centrepoint.org.uk/media/972766/financial_statement_final_version_october_2014.pdf					
Unclassified	Help for Heroes	2,310		£33,163,000	£14,356.28			http://www.helpforheroes.org.uk/Publications/Annual-Reports/2014/files/assets/common/downloads/publication.pdf	Assuming linear growth for 8 years, claiming to have helped 9000 people plus 500 families in total lifespan				
Unclassified	Guide dogs for the blind association	823		£52,800,000	£64,155.53			https://www.guidedogs.org.uk/media/4836277/2013-gd-annual-report-and-accounts.pdf	If anything might be a slightly generous estimate. From their report: 'We trained 823 guide dog partnerships in 2013 but our high attainment expectations mean that some partnerships did not qualify until 2014'				
Unclassified	Actionaid		27,000,000	£63,344,000	#DIV/0!	£2.35		http://actionaid.org/sites/files/actionaid/aai_annual_report_2013_stg7.pdf					
Unclassified	Concern Worldwide (UK section)			£16,881,873	#DIV/0!								
International Aid	Concern Worldwide	7,600,000	13,500,000	£98,009,820	£12.90	£7.26	Very rough estimate based on adding up numbers in the annual report - I don't know whether I am double counting	https://www.concern.net/sites/default/files/media/page/concern_annual_report_2014.pdf		Emergencies: direct help for 2.8 million people (p22 of 2014 annual report)	Improved food security/livelihood for 1.4m people directly and 3.9m indirectly (P28 of 2014 annual report)	Health: improved the health of 2.8 million people directly and 7.4 million indirectly	Education: 600k direct beneficiaries, 2.2m indirect
Unclassified	Comic Relief	???		£126,433,000	#VALUE!			http://www.comicrelief.com/sites/comicrelief.com/files/files/downloadables/307_TrusteesReportFinancialStatement_V8.pdf					
Animals	PDSA	2,652,000		£97,000,000	£36.58		"In 2013 we treated 392,000 pets and provided 2.26 million free PetAid hospital treatments" stated early on in the annual report	https://www.pdsa.org.uk/what-we-do/annual-reviews - 2013 annual report					
Animals	RSPCA				#DIV/0!								
Animals	Battersea dogs and cats home				#DIV/0!								
Animals	Dogs Trust				#DIV/0!								
Animals	Donkey Sanctuary				#DIV/0!								
Animals	Cats protection				#DIV/0!								
Unclassified	Royal British Legion	??? >18,500		£115,200,000	#VALUE!			http://www.britishlegion.org.uk/media/4232033/annualreport2014.pdf					
Unclassified	DUY-DER	???		???	£1,100.71			I found out about this from The Funding Network (TFN). They don't seem to have a website or annual report; the best I could find was thier facebook page (in Turkish) and this article that TFN linked to http://www.hurriyetdailynews.com/over-one-million-landmines-remain-undetected-in-turkey-ngo.aspx?pageID=238&nid=58713. This article is where the ratio comes from - it refers to the cost of clearing one mine					
Unclassified	Spitalfields Crypt Trust	???		£1,661,308				http://www.sct.org.uk/downloads/2012%20Impact%20Report%20(1).pdf					
International Aid	iDE	274,641		£14,663,924	£53.39		Number of beneficiaries from adding up hte numbers on p3. Cost is from p9; again had to add figures up. There are three breakdown of costs, totals were not shown but I added them up they came to different numbres. Fortunately the numbers are similar	http://www.ideorg.org/OurStory/Financials/2013%20Annual%20Report.pdf					
International Aid	Pump Aid				£25			Conversation with Michael Chuter, CEO of PumpAid					
International Aid	WaterAid				£15			Conversation with Michael Chuter, CEO of PumpAid					
International Aid	War child UK	62,236		£5,267,000	£84.63			http://www.warchild.org.uk/sites/default/files/2013%20War%20Child%20-%20Annual%20Report%20-%20FINAL%20online%20version.pdf					
	Switchback	51		£348,331	£6,830.02		51 trainees is mentioned on p7. Could argue that this should just be the 36 trainees who "fully engaged" with the programme mentioned on p4	http://apps.charitycommission.gov.uk/Accounts/Ends00/0001125100_AC_20141231_E_C.pdf	http://raiseyourhands.org.uk/charities/				
	Straight talking	5580		£220,883	£39.58			http://www.straighttalking.org/pdfs/Accounts-Year-Ended-31-July-2014.pdf	http://raiseyourhands.org.uk/charities/				
	Storybook Dads	17700		£174,533	£9.86		More info at http://www.researchgate.net/publication/269700976_Case_Study_Storybook_Dads	http://apps.charitycommission.gov.uk/Accounts/Ends08/0001101208_AC_20131231_E_C.pdf	http://raiseyourhands.org.uk/charities/				
	Sport 4 life UK	777		£291,226	£374.81		777 beneficiaries comes from http://sport4life.org.uk/wp-content/uploads/2014/12/S4LAnnualReport-2013-14_000.pdf	Total spend from http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithoutPartB.aspx?RegisteredCharityNumber=1115222&SubsidiaryNumber=0	http://raiseyourhands.org.uk/charities/				
	Sparkplug	???		£112,533	#VALUE!		Y/E 31 MARCH 2014	http://apps.charitycommission.gov.uk/Accounts/Ends60/0001120560_AC_20140331_E_C.pdf	http://raiseyourhands.org.uk/charities/				
	Grief encounter	300		£698,850	£2,329.50		it's not entirely clear - it refers to "some 300 families", so I don't know whether the total number of beneficiaries is actually higher than that	http://apps.charitycommission.gov.uk/Accounts/Ends77/0001101277_AC_20140731_E_C.pdf	http://raiseyourhands.org.uk/charities/				
	Spark inside	24		£118,352	£4,931.33		Number of beneficiaries given towards the end of p2. May be somewhat inflated as the charity is still fairly new, although I think coaching is fundamentally quite pricey. Furthermore, I believe that the coachees are just those who are most willing and engaged, which means that they may have been quite likely to avoid recidivism themselves anyway	http://apps.charitycommission.gov.uk/Accounts/Ends20/0001148420_AC_20140331_E_C.pdf	YTFN or Filanthropy*				
	Solar Aid												
	Petals	??		£15,531	?		Spend shown on charity commission website, but too small to need to submit accounts http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithoutPartB.aspx?RegisteredCharityNumber=1150375&SubsidiaryNumber=0						
	Project healthy children				£0.05		I can't find the figures from PHC themselves, however GWWC has some info on this - "Even for relatively small populations, this comes to between $0.05 and $0.10 per person" https://www.givingwhatwecan.org/top-charities/project-healthy-children "The cost of providing all of this advice to a country is in the order of $300-$650,000 which could lead to an annual cost per person in the country under one cent" https://www.givingwhatwecan.org/sites/givingwhatwecan.org/files/reports/PHC%20Report.pdf						
	True Volunteer Foundation	325009		£69,053	£0.21		The cost shown in the accounts is £358k, but that includes £289k of donated volunteer time - for consistency I have removed this. The cost looks incredibly cheap, but more investigation is needed	http://apps.charitycommission.gov.uk/Accounts/Ends89/0001113789_AC_20131231_E_C.pdf	Number of beneficiaries shown on p3 of the return (p13 if you follow the link)	I have sent an email on 14th Aug 2015 asking for more information (sent via website, but I made a copy of the message and emailed it to myself)			
	Strong Minds	514		£104,202	£202.73		This is based on the 2013 figures, which is the year when strong minds was set up (hence the cost figure which is based only on the period from 19th Feb). I couldn't find a number of beneficiaries. There were two impact reports, both of which referred to treating 500 women, however I don't think that was total number of beneficiaries reached, I think that was just the amount considered for the purposes of the impact report	http://www.guidestar.org/organizations/46-2090059/strongminds.aspx#financials	Impact report is interesting, but doesn't provide any insight on cost effectiveness http://strongminds.org/our-impact/			2/19/2013	12/31/2013
	Development Media international								http://www.thelifeyoucansave.org/Where-to-Donate				
	Evidence action								http://www.thelifeyoucansave.org/Where-to-Donate				
	Fistula Foundation	4511		£4,700,149	£1,041.93			https://www.fistulafoundation.org/pdf/AnnualReport2014.pdf	http://www.thelifeyoucansave.org/Where-to-Donate				
	Fred Hollows Foundation								http://www.thelifeyoucansave.org/Where-to-Donate				
	Give Directly								http://www.thelifeyoucansave.org/Where-to-Donate				
	Global Alliance for Improved Nutrition								http://www.thelifeyoucansave.org/Where-to-Donate				
	Innovations for Poverty Action								http://www.thelifeyoucansave.org/Where-to-Donate				
	Iodine Global Network								http://www.thelifeyoucansave.org/Where-to-Donate				
	Living Goods								http://www.thelifeyoucansave.org/Where-to-Donate				
	PSI								http://www.thelifeyoucansave.org/Where-to-Donate				
	Possible Health								http://www.thelifeyoucansave.org/Where-to-Donate				
	Schistosomiasis Control Initiative								http://www.thelifeyoucansave.org/Where-to-Donate				
	Seva International								http://www.thelifeyoucansave.org/Where-to-Donate				
	Action West London								https://localgiving.com/localareas/london?gclid=CPuaqrzVvMcCFUaeGwodLDcHrQ				
	Faiths Forum for London								https://localgiving.com/localareas/london?gclid=CPuaqrzVvMcCFUaeGwodLDcHrQ				
	Artbox London								https://localgiving.com/localareas/london?gclid=CPuaqrzVvMcCFUaeGwodLDcHrQ				
	Freightliners Farm								https://localgiving.com/localareas/london?gclid=CPuaqrzVvMcCFUaeGwodLDcHrQ				
	Sport4health community interest								https://localgiving.com/localareas/london?gclid=CPuaqrzVvMcCFUaeGwodLDcHrQ				
	ACT training services								https://localgiving.com/localareas/london?gclid=CPuaqrzVvMcCFUaeGwodLDcHrQ				
	Down's syndrome support group								https://localgiving.com/localareas/london?gclid=CPuaqrzVvMcCFUaeGwodLDcHrQ				
	Urban voice UK								https://localgiving.com/localareas/london?gclid=CPuaqrzVvMcCFUaeGwodLDcHrQ				
	Make a wish UK	997		£6,400,442	£6,419.70		Of the 997, 893 are wishes granted to a seriously ill child, and 104 are "wish assists". I'm not sure what that means, but I think it's when a child abroad wishes to visit the UK, and the UK entity helps make that happen. I have not included the 101 cases where preparations started by the wish "sadly had to be cancelled" (presumably the child died?) Arguably this is not giving enough credit, since the family and child presumably benefitted from knowing that things were being done for them, even if they didn't get the actual wish in the end.	http://apps.charitycommission.gov.uk/Accounts/Ends72/0000295672_AC_20131231_E_C.pdf					
	Make a wish foundation of America	??		£50,646,393			Doesn't state the number of wishes, which is interesting because that info is given for the UK charity	http://wish.org/~/media/100-000/About%20Us/Making%20a%20Difference/Managing%20Our%20Funds/Documents/FY2013/FY13%20MAWF%20of%20America_Consolidated%20FS.ashx					
	Action against hunger				£5.58		Average expenditure per beneficiary is tracked in goal 4 (p32) of the 2014 annual progress report. No info provided to confirm that this is calculated on a consistent basis with other calcs in this database; in particular don't know whether the full cost base is included. Figure was given in EURO	https://dd0jh6c2fb2ci.cloudfront.net/sites/default/files/publications/ACF_AnnualProgressReport_2014.pdf	http://www.kpoints.org/charities				
	Action against hunger USA	9,000,000		£36,305,758	£4.03		9m beneficiaries - this is clearly rounded, although it won't matter much to the ratio	https://dd0jh6c2fb2ci.cloudfront.net/sites/default/files/publications/2013_ACF-USA_annual_report_-_final.pdf					
	D-Rev								http://www.kpoints.org/charities				
	Givewell								http://www.kpoints.org/charities				
	Holy Apostles Soup Kitchen								http://www.kpoints.org/charities				
	The Lunchbox fund								http://www.kpoints.org/charities				
	Wags and walks								http://www.kpoints.org/charities				
	CreateNow								http://www.kpoints.org/charities				
	Stupid cancer								http://www.kpoints.org/charities				
	College track								http://www.kpoints.org/charities				
	Downtown women's center								http://www.kpoints.org/charities				
	Books for kids								http://www.kpoints.org/charities				
